ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1,1739352577094,-1.00857,-3.9679,6.12652,17.85989,31.42455,6.48479
Abj,2,1739352577114,0.10289,-0.09691,7.73629,7.05698,4.88267,-0.71714
Abj,3,1739352577129,-0.72353,-0.28863,7.43689,-12.344,-6.2254,-3.15848
Abj,4,1739352577139,-0.72353,-0.28863,7.43689,-8.682,21.10991,-1.57161
Abj,5,1739352577173,-0.17258,-3.97986,8.71376,-1.78523,-1.52583,-1.51058
Abj,6,1739352577184,0.41186,-3.84108,8.89352,5.11154,11.29117,0.01526
Abj,7,1739352577199,0.41186,-3.84108,8.89352,8.03352,8.30054,1.90729
Abj,8,1739352577220,-0.14626,-0.79651,5.47986,-1.72419,2.3803,1.60213
Abj,9,1739352577232,-0.34038,0.77737,10.8673,-0.07629,9.155,2.70073
Abj,10,1739352577243,-0.27308,-2.98834,11.64826,-0.38146,3.78407,2.21246
Abj,11,1739352577260,-0.27308,-2.98834,11.64826,1.87678,5.92024,1.17489
Abj,12,1739352577288,-1.95254,-1.22513,6.96252,3.21951,-5.3099,3.37209
Abj,13,1739352577300,-1.95254,-1.22513,6.96252,8.21662,17.63101,2.51763
Abj,14,1739352577314,-0.31854,-1.28734,13.38724,-4.34863,0.79343,-2.67021
Abj,15,1739352577323,-2.17029,0.37986,10.57987,-0.13733,7.93434,4.53173
Abj,16,1739352577340,-2.17029,0.37986,10.57987,-9.17026,-6.10334,0.62559
Abj,17,1739352577363,0.38315,-2.39671,11.99791,-6.42376,8.7888,1.72419
Abj,18,1739352577378,-1.82542,-2.04915,12.12982,-8.01063,-0.48827,-2.91434
Abj,19,1739352577388,-1.08754,-2.65065,12.03859,-8.07166,16.59344,-1.08334
Abj,20,1739352577405,-0.91286,-1.99412,9.55933,1.87678,4.45543,4.40966
Abj,21,1739352577425,-0.64457,-2.7679,11.94048,-2.02936,22.69678,1.17489
Abj,22,1739352577442,0.57727,-1.3331,9.62872,-4.28759,-3.53993,-3.34158
Abj,23,1739352577458,0.57727,-1.3331,9.62872,-4.53173,2.99063,-0.77818
Abj,24,1739352577479,-0.92961,-2.01805,8.17478,-8.07166,6.34747,-3.03641
Abj,25,1739352577490,-1.03968,-2.1018,10.98485,-1.11386,5.92024,-2.42608
Abj,26,1739352577505,-0.41934,-3.68764,8.67309,3.40261,6.4085,-3.03641
Abj,27,1739352577526,-0.53659,-0.68136,9.06341,-0.19836,6.16437,-4.31811
Abj,28,1739352577541,-0.53659,-0.68136,9.06341,9.13212,25.68741,-1.69368
Abj,29,1739352577559,-0.95354,-1.29452,6.68704,4.62328,5.00474,-3.82984
Abj,30,1739352577588,-0.97268,0.24796,13.67498,-5.75239,13.67147,-6.27118
Abj,31,1739352577611,-0.54138,-2.14756,8.54118,-12.95433,8.2395,-6.63738
Abj,32,1739352577624,-0.54138,-2.14756,8.54118,6.87388,7.93434,-4.86741
Abj,33,1739352577639,-0.6661,-1.36421,6.76391,1.26644,-1.58687,-6.88151
Abj,34,1739352577651,-0.99182,-2.74875,9.09931,6.39324,9.76534,-3.15848
Abj,35,1739352577665,-0.91525,-0.81805,7.35793,-2.21246,2.1972,-5.59981
Abj,36,1739352577681,-0.91525,-0.81805,7.35793,-3.31106,13.97664,-6.51531
Abj,37,1739352577692,-1.18355,-0.54018,12.87967,-3.98243,15.80001,-7.06461
Abj,38,1739352577708,-1.86132,-0.93769,7.8682,-7.58339,-9.76534,-9.19315
Abj,39,1739352577727,0.067,-3.90329,11.07339,6.57634,21.10991,-7.48422
Abj,40,1739352577749,-0.77617,-3.07926,5.41526,4.86741,-11.3522,-9.62038
Abj,41,1739352577759,-0.77617,-3.07926,5.41526,0.22888,43.38708,-5.66084
Abj,42,1739352577774,-1.11864,0.6338,15.52643,6.75181,-17.39451,-15.17442
Abj,43,1739352577792,-0.85274,-3.15583,9.24317,9.55935,9.58224,-5.96601
Abj,44,1739352577808,-1.02293,-1.45514,10.85534,4.92844,-0.61033,-14.62512
Abj,45,1739352577826,-0.61825,0.25513,12.09632,-15.15153,1.831,-10.41382
Abj,46,1739352577843,-0.61825,0.25513,12.09632,-1.05283,12.817,-11.14622
Abj,47,1739352577861,-1.32951,-3.60389,8.77598,4.37914,-7.07987,-10.84105
Abj,48,1739352577885,-0.63739,-2.1332,10.52962,6.69841,5.61507,-9.92555
Abj,49,1739352577901,-0.97986,-3.41934,10.83859,1.75471,8.6057,-11.63448
Abj,50,1739352577915,-1.79671,-0.0993,11.61476,-2.39556,-0.24413,-12.00068
Abj,51,1739352577932,0.14836,-1.27059,10.10788,-5.69136,8.17847,-13.52652
Abj,52,1739352577946,-1.5332,-3.34756,9.1017,6.39324,-7.07987,-13.77065
Abj,53,1739352577960,-1.5332,-3.34756,9.1017,-4.53173,3.4789,-13.77065
Abj,54,1739352577978,-0.77139,-0.95204,10.47458,2.73124,0.67137,-14.01478
Abj,55,1739352577994,0.34008,-2.66261,7.72912,6.27118,-11.04704,-14.74718
Abj,56,1739352578011,-0.8985,-2.3007,9.43011,5.41671,2.31927,-14.56408
Abj,57,1739352578026,-0.35952,0.12592,10.44796,-0.68663,-0.5493,-14.25892
Abj,58,1739352578049,-0.08644,-1.57986,9.19771,5.78291,7.07987,-12.97722
Abj,59,1739352578065,-0.08644,-1.57986,9.19771,-1.23593,-5.18784,-12.97722
Abj,60,1739352578084,-0.8985,-1.76889,7.21167,6.69841,14.15974,-10.29175
Abj,61,1739352578096,0.85992,-2.40389,11.5358,8.76592,-1.95307,-6.63738
Abj,62,1739352578114,-1.15244,-1.77368,6.68465,2.24298,-0.3662,-12.67205
Abj,63,1739352578133,-2.00279,0.466,13.59093,-4.40966,1.03757,-9.86452
Abj,64,1739352578142,-2.00279,0.466,13.59093,2.48711,-16.84521,-11.20725
Abj,65,1739352578158,-0.46481,-1.64925,5.93031,-0.62559,23.55125,-7.97248
Abj,66,1739352578176,-0.42173,-3.01944,11.25554,-0.32043,19.03478,-6.82048
Abj,67,1739352578193,-1.51884,-1.44796,10.20868,1.81574,-28.43392,-10.71898
Abj,68,1739352578211,-0.932,-1.38096,9.31735,-2.57866,1.52583,-7.54525
Abj,69,1739352578227,-0.54616,-0.60479,10.52004,-0.13733,5.73714,-8.33868
Abj,70,1739352578249,-0.54616,-0.60479,10.52004,0.59508,0.67137,-7.91145
Abj,71,1739352578265,-0.89133,-2.51396,9.62633,0.83921,-4.15027,-6.57634
Abj,72,1739352578288,-0.50548,-2.82054,9.31496,9.13212,9.94844,-7.30112
Abj,73,1739352578302,-1.60738,-3.84586,9.94517,8.21662,-4.08923,-10.71898
Abj,74,1739352578316,-0.99182,0.09003,11.23131,0.35094,7.8733,-10.10865
Abj,75,1739352578332,-0.82164,-0.93529,9.97149,-5.26413,2.31927,-11.75655
Abj,76,1739352578348,-0.45763,-2.89711,10.13659,1.38851,3.1127,-9.37625
Abj,77,1739352578366,-0.45763,-2.89711,10.13659,3.46364,1.95307,-11.45138
Abj,78,1739352578379,0.03829,-3.13191,8.39522,-1.78523,4.3944,-10.65795
Abj,79,1739352578397,-1.29841,-1.26102,11.2026,3.40261,3.05167,-11.45138
Abj,80,1739352578408,-1.31516,-2.08744,8.59412,-0.62559,-8.48364,-13.70962
Abj,81,1739352578426,-1.31516,-2.08744,8.59412,0.22888,1.34273,-14.25892
Abj,82,1739352578447,-1.24098,-1.2347,11.502,0.96128,-2.99063,-14.19788
Abj,83,1739352578460,-0.29222,-1.91276,6.4358,1.08334,-2.25823,-14.93028
Abj,84,1739352578482,-0.87218,-1.38096,12.21596,-1.54109,-0.3662,-16.21198
